target,regime,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,delta,Q
DPP4,rich,40,borrow,-0.606432132997184,-0.6113604951691448,-0.7768443381126898,-0.4458766522255998,True,1.0,0.06347552873079726
DPP4,rich,40,shrink_mean,-0.606432132997184,-0.6069403543413325,-0.763677143423946,-0.4502035652587191,True,1.0,0.0023909097972043447
DPP4,rich,41,nma,-0.606432132997184,-0.5858418917559298,-0.8180135202962787,-0.3536702632155809,True,,
DPP4,rich,41,borrow,-0.606432132997184,-0.5919076506441422,-0.7910488227920289,-0.39276647849625546,True,1.0,0.08893125405881645
DPP4,rich,41,shrink_mean,-0.606432132997184,-0.5859052856039635,-0.7717108670234814,-0.4000997041844456,True,1.0,0.01140720947861894
DPP4,rich,42,nma,-0.606432132997184,-0.6426676036199965,-0.879588729355858,-0.40574647788413515,True,,
DPP4,rich,42,borrow,-0.606432132997184,-0.6461001153580272,-0.8180223981035767,-0.4741778326124778,True,1.0,0.0304598834257963
DPP4,rich,42,shrink_mean,-0.606432132997184,-0.6418087809467679,-0.809259560845617,-0.4743580010479187,True,1.0,0.0020482338722834278
DPP4,rich,43,nma,-0.606432132997184,-0.5398844000262448,-0.7723847168342677,-0.30738408321822197,True,,
DPP4,rich,43,borrow,-0.606432132997184,-0.5487311185820536,-0.7224702281594552,-0.374992009004652,True,1.0,0.15783644823733275
DPP4,rich,43,shrink_mean,-0.606432132997184,-0.5417578214689719,-0.6921666878970262,-0.3913489550409176,True,1.0,0.051311440753289736
DPP4,rich,44,nma,-0.606432132997184,-0.6544631037659321,-0.8909120274216862,-0.418014180110178,True,,
DPP4,rich,44,borrow,-0.606432132997184,-0.6568237572019208,-0.8206429917977112,-0.4930045226061303,True,1.0,0.022670953869643157
DPP4,rich,44,shrink_mean,-0.606432132997184,-0.6528352446903578,-0.813636595981082,-0.49203389339963366,True,1.0,0.005622513210674806
DPP4,rich,45,nma,-0.606432132997184,-0.5074893460225551,-0.7405889787228641,-0.27438971332224615,True,,
DPP4,rich,45,borrow,-0.606432132997184,-0.5233219193706027,-0.7167956113105313,-0.3298482274306741,True,1.0,0.2115721498777578
DPP4,rich,45,shrink_mean,-0.606432132997184,-0.5146667637412454,-0.676734705611515,-0.3525988218709758,True,1.0,0.09208922192927109
DPP4,rich,46,nma,-0.606432132997184,-0.5581555326515897,-0.787773819095877,-0.3285372462073024,True,,
DPP4,rich,46,borrow,-0.606432132997184,-0.5654470548880237,-0.738298596044173,-0.39259551373187435,True,1.0,0.1280450783390766
DPP4,rich,46,shrink_mean,-0.606432132997184,-0.5592827795594952,-0.71372968068601,-0.4048358784329805,True,1.0,0.03181437070709215
DPP4,rich,47,nma,-0.606432132997184,-0.6429755225214633,-0.8825719437066452,-0.4033791013362814,True,,
DPP4,rich,47,borrow,-0.606432132997184,-0.6473493910191145,-0.8464029372087751,-0.4482958448294538,True,1.0,0.029858945633613618
DPP4,rich,47,shrink_mean,-0.606432132997184,-0.6418110483596414,-0.83538984378305,-0.44823225293623287,True,1.0,0.0020861430971271795
DPP4,rich,48,nma,-0.606432132997184,-0.5896620549481213,-0.8234314530195433,-0.35589265687669924,True,,
DPP4,rich,48,borrow,-0.606432132997184,-0.594890937827944,-0.7357339568164705,-0.45404791883941753,True,1.0,0.08301554733241864
DPP4,rich,48,shrink_mean,-0.606432132997184,-0.5906989207622084,-0.7203856759007796,-0.4610121656236373,True,1.0,0.008490287847493536
DPP4,rich,49,nma,-0.606432132997184,-0.6015934459648493,-0.833308666305654,-0.3698782256240446,True,,
DPP4,rich,49,borrow,-0.606432132997184,-0.606202555160355,-0.7983633089937473,-0.4140418013269628,True,1.0,0.0702533834206473
DPP4,rich,49,shrink_mean,-0.606432132997184,-0.6007481763338994,-0.7822798523848814,-0.41921650028291746,True,1.0,0.00437481953785936
DPP4,rich,50,nma,-0.606432132997184,-0.6483755651546659,-0.8831710605716181,-0.4135800697377136,True,,
DPP4,rich,50,borrow,-0.606432132997184,-0.6480767502242389,-0.8259964169943297,-0.47015708345414825,True,1.0,0.02902289713322888
DPP4,rich,50,shrink_mean,-0.606432132997184,-0.6435197929177833,-0.8169621257539993,-0.47007746008156726,True,1.0,0.0024986883698414016
DPP4,rich,51,nma,-0.606432132997184,-0.6839402189489876,-0.920794252054821,-0.4470861858431542,True,,
DPP4,rich,51,borrow,-0.606432132997184,-0.6869673038139811,-0.8453239834815853,-0.5286106241463768,True,1.0,0.007130731435101082
DPP4,rich,51,shrink_mean,-0.606432132997184,-0.6826967432768394,-0.8414254281366862,-0.5239680584169926,True,1.0,0.024385936054788317
